task,n_train,target_es,actual_es,kl,logit_diff,prob_diff
gp,20,0.93,0.9627763032913208,0.11679441379426324,3.141437399324286,
gp,20,0.94,0.9697595238685608,0.10482729090840887,2.930332819620768,
gp,20,0.945,0.9702757000923157,0.1282298044509762,2.8450315869043745,
gp,20,0.95,0.9714598059654236,0.11695107874379213,2.6713708645452265,
gp,20,0.955,0.9747692346572876,0.11350975058746164,2.820320482607241,
gp,20,0.96,0.9748603105545044,0.14454420297788506,2.5806822499270163,
gp,20,0.965,0.9775018095970154,0.13663438279409623,2.7185825267166055,
gp,20,0.97,0.9816007018089294,0.14265279141599657,2.692289049663241,
gp,20,0.975,0.9846975803375244,0.12693396930166437,2.7398036876052774,
gp,20,0.98,0.9861246347427368,0.12469533259552909,2.7684972349298063,
gp,20,0.985,0.9874605536460876,0.149902661812982,3.3068849472772506,
gp,20,0.99,0.9891000986099243,0.15664470733559774,3.001226758200025,
gp,20,0.995,0.9892518520355225,0.15093660396252753,2.513543295481848,
gp,20,1.0,0.9899501800537109,0.16388527757707472,2.3904896186142373,
gp,20,1.05,0.9937454462051392,0.23089423854515034,2.121731087013527,
gp,20,1.1,0.9947777390480042,0.2915608097143747,1.7441265469505673,
gp,20,1.15,0.9956278800964355,0.29266623037845074,1.742174885260365,
gp,20,1.2,0.9961440563201904,0.335993754200726,1.6053334897157376,
gp,20,1.4,0.997358500957489,0.41253261256066187,1.2524415576268757,
gp,50,0.93,0.9615314602851868,0.07360832945557025,3.1315820280206266,
gp,50,0.94,0.9631710052490234,0.08198063944992437,3.0331370237643127,
gp,50,0.945,0.9668447971343994,0.08257869160031929,2.9910802084302146,
gp,50,0.95,0.971065104007721,0.08348836506859808,3.0195279096169445,
gp,50,0.96,0.9723402857780457,0.08466411470041349,3.0464599649742166,
gp,50,0.955,0.9727653861045837,0.07516744202705071,2.939641347007146,
gp,50,0.965,0.9769856929779053,0.0908058404860274,3.152104796555938,
gp,50,0.97,0.9809934496879578,0.09486471186638391,3.037524107272032,
gp,50,0.975,0.9836349487304688,0.12057801719512248,3.0866536337231834,
gp,50,0.98,0.98524409532547,0.10654988848646146,2.664262711055695,
gp,50,0.985,0.9866407513618469,0.10899898122731848,2.844170676337348,
gp,50,0.99,0.9869443774223328,0.12690876392344574,2.8459105315031827,
gp,50,0.995,0.9886749982833862,0.12589572214339145,2.7456331404428633,
gp,50,1.0,0.9895251393318176,0.12675363555607244,2.891138399719561,
gp,50,1.05,0.9933204054832458,0.18726451072235784,2.529689586982525,
gp,50,1.1,0.994868814945221,0.2743448692881478,2.1134990813240173,
gp,50,1.15,0.9962654709815979,0.32228984278700656,1.823041835159221,
gp,50,1.2,0.9965690970420837,0.3386599103539502,1.750251225062779,
gp,50,1.4,0.997722864151001,0.4662131006045947,1.0997602069188679,
gp,100,0.93,0.9560055732727051,0.06508814159099495,3.1009053729829335,
gp,100,0.94,0.9630191922187805,0.06019498721392155,2.978113028107497,
gp,100,0.945,0.9653874039649963,0.07413406449027615,2.8103905329628596,
gp,100,0.955,0.9676645398139954,0.07346317572143451,2.994249727360155,
gp,100,0.95,0.968059241771698,0.06210415780565223,2.9834012430180947,
gp,100,0.96,0.9723706841468811,0.07752233914194491,3.1926426256775224,
gp,100,0.965,0.977896511554718,0.0722033835740553,2.992660744480355,
gp,100,0.97,0.9808719754219055,0.08016874069451457,2.809810476959067,
gp,100,0.975,0.9833009243011475,0.08351521035126612,2.726129834614103,
gp,100,0.98,0.9847583174705505,0.09967419758646025,2.800167860808196,
gp,100,0.985,0.986276388168335,0.09180981286668352,2.612935646501168,
gp,100,0.99,0.987065851688385,0.0944247559574063,2.7751736010193193,
gp,100,0.995,0.9877034425735474,0.09957495150735315,2.5964258890303356,
gp,100,1.0,0.9896769523620605,0.11189107969649649,2.780620060269795,
gp,100,1.05,0.9928649663925171,0.1684129387115636,2.492526644752139,
gp,100,1.1,0.9948081374168396,0.22831157414075084,2.0390187621747375,
gp,100,1.15,0.9955975413322449,0.26954184562182204,2.1018548087468223,
gp,100,1.2,0.996326208114624,0.31606646559063206,1.5743026026973017,
gp,100,1.4,0.9978442788124084,0.46485728578132,1.213565432836139,
gp,200,0.93,0.957402229309082,0.056898710112181054,3.0734555178849154,
gp,200,0.94,0.9612581729888916,0.05946717109277391,2.9868871698934565,
gp,200,0.945,0.9635657072067261,0.05851968418881938,2.9633863539922807,
gp,200,0.955,0.9688183069229126,0.06268820279430617,2.9627126158860624,
gp,200,0.95,0.9689397811889648,0.05802495692358919,3.0008166984275535,
gp,200,0.96,0.9713687300682068,0.06090742810727861,2.832294393468786,
gp,200,0.965,0.9765605926513672,0.06908524370932134,2.933874251350524,
gp,200,0.97,0.9800522327423096,0.06707453085405249,2.8694437117803666,
gp,200,0.975,0.9837867617607117,0.08077847184065148,3.027797295302941,
gp,200,0.98,0.9855173826217651,0.08202596961427604,2.9594853517239685,
gp,200,0.985,0.9866407513618469,0.09276172896617994,2.7759401937010426,
gp,200,0.99,0.9882195591926575,0.10383029109317927,2.90123702357055,
gp,200,0.995,0.9882802963256836,0.1129021445103236,2.610073039140651,
gp,200,1.0,0.9894644021987915,0.10589836025117803,2.9040080983802756,
